film,award_type_2,status_2,Award year
Toy Story,Animated Feature,Award not yet introduced,
Toy Story,Original Screenplay,Nominated,
Toy Story,Adapted Screenplay,Ineligible,
Toy Story,Original Score,Nominated,
Toy Story,Original Song,Nominated,
Toy Story,Other,Won Special Achievement,
A Bug's Life,Animated Feature,Award not yet introduced,
A Bug's Life,Adapted Screenplay,Ineligible,
A Bug's Life,Original Score,Nominated,
Toy Story 2,Animated Feature,Award not yet introduced,
Toy Story 2,Original Screenplay,Ineligible,
Toy Story 2,Original Song,Nominated,
"Monsters, Inc.",Animated Feature,Nominated,
"Monsters, Inc.",Adapted Screenplay,Ineligible,
"Monsters, Inc.",Original Score,Nominated,
"Monsters, Inc.",Original Song,Won,2002
"Monsters, Inc.",Sound Editing,Nominated,
Finding Nemo,Animated Feature,Won,2004
Finding Nemo,Original Screenplay,Nominated,
Finding Nemo,Adapted Screenplay,Ineligible,
Finding Nemo,Original Score,Nominated,
Finding Nemo,Sound Editing,Nominated,
The Incredibles,Animated Feature,Won,2005
The Incredibles,Original Screenplay,Nominated,
The Incredibles,Adapted Screenplay,Ineligible,
The Incredibles,Sound Editing,Won,2005
The Incredibles,Sound Mixing,Nominated,
Cars,Animated Feature,Nominated,
Cars,Adapted Screenplay,Ineligible,
Cars,Original Song,Nominated,
Ratatouille,Animated Feature,Won,2008
Ratatouille,Original Screenplay,Nominated,
Ratatouille,Adapted Screenplay,Ineligible,
Ratatouille,Original Score,Nominated,
Ratatouille,Sound Editing,Nominated,
Ratatouille,Sound Mixing,Nominated,
WALL-E,Animated Feature,Won,2009
WALL-E,Original Screenplay,Nominated,
WALL-E,Adapted Screenplay,Ineligible,
WALL-E,Original Score,Nominated,
WALL-E,Original Song,Nominated,
WALL-E,Sound Editing,Nominated,
WALL-E,Sound Mixing,Nominated,
Up,Best Picture,Nominated,
Up,Animated Feature,Won,2010
Up,Original Screenplay,Nominated,
Up,Adapted Screenplay,Ineligible,
Up,Original Score,Won,2010
Up,Sound Editing,Nominated,
Toy Story 3,Best Picture,Nominated,
Toy Story 3,Animated Feature,Won,2011
Toy Story 3,Original Screenplay,Ineligible,
Toy Story 3,Adapted Screenplay,Nominated,
Toy Story 3,Original Song,Won,2011
Toy Story 3,Sound Editing,Nominated,
Cars 2,Original Screenplay,Ineligible,
Brave,Animated Feature,Won,2013
Brave,Adapted Screenplay,Ineligible,
Monsters University,Original Screenplay,Ineligible,
Inside Out,Animated Feature,Won,2016
Inside Out,Original Screenplay,Nominated,
Inside Out,Adapted Screenplay,Ineligible,
The Good Dinosaur,Adapted Screenplay,Ineligible,
Finding Dory,Original Screenplay,Ineligible,
Cars 3,Original Screenplay,Ineligible,
Coco,Animated Feature,Won,2018
Coco,Adapted Screenplay,Ineligible,
Coco,Original Song,Won,2018
Incredibles 2,Animated Feature,Nominated,
Incredibles 2,Original Screenplay,Ineligible,
Toy Story 4,Animated Feature,Won,2020
Toy Story 4,Original Screenplay,Ineligible,
Toy Story 4,Original Song,Nominated,
Onward,Animated Feature,Nominated,
Onward,Adapted Screenplay,Ineligible,
Soul,Animated Feature,Won,2021
Soul,Adapted Screenplay,Ineligible,
Soul,Original Score,Won,2021
Soul,Sound Editing,Nominated,
Soul,Sound Mixing,Nominated,
Luca,Animated Feature,Nominated,
Luca,Adapted Screenplay,Ineligible,
Turning Red,Animated Feature,Nominated,
Turning Red,Adapted Screenplay,Ineligible,
Lightyear,Original Screenplay,Ineligible,
Elemental,Animated Feature,Nominated,
Elemental,Adapted Screenplay,Ineligible,
Inside Out 2,Original Screenplay,Ineligible,
Inside Out 2,Animated Feature,Nominated,
